Chemical,CAS #/Comp ID,Clean Air Act Chemical,Classification,Metal,Metal Category,Carcinogen,Form Type,Unit of Measure,Risk Factor
4.4'-METHYLENEBIS(2-CHLOROANILINE),101144,YES,NON-PBT,NO,0,YES,A,Pounds,Unknown
ZINC (FUME OR DUST),7440666,NO,NON-PBT,YES,4,NO,R,Pounds,Unknown
SODIUM NITRITE,7632000,NO,NON-PBT,YES,2,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
TOLUENE-2.4-DIISOCYANATE,584849,YES,NON-PBT,NO,0,YES,A,Pounds,Unknown
TOLUENE DIISOCYANATE (MIXED ISOMERS),26471625,NO,NON-PBT,NO,0,YES,A,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N.N-DIMETHYLFORMAMIDE,68122,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIISOCYANATES,N120,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL ISOBUTYL KETONE,108101,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
SODIUM NITRITE,7632000,NO,NON-PBT,YES,2,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1-(3-CHLOROALLYL)-3.5.7-TRIAZA-1-AZONIAADAMANTANE CHLORIDE,4080313,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CYCLOHEXANE,110827,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
BENZENE,71432,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROMETHANE,75092,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BARIUM COMPOUNDS,N040,NO,NON-PBT,YES,3,NO,R,Pounds,Unknown
1.2-DICHLOROBENZENE,95501,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TRICHLOROETHYLENE,79016,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TETRACHLOROETHYLENE,127184,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
TERT-BUTYL ALCOHOL,75650,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
N-METHYL-2-PYRROLIDONE,872504,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL ISOBUTYL KETONE,108101,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
PHOSPHORUS (YELLOW OR WHITE),7723140,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
SEC-BUTYL ALCOHOL,78922,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
PHTHALIC ANHYDRIDE,85449,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MALEIC ANHYDRIDE,108316,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL ISOBUTYL KETONE,108101,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
COPPER COMPOUNDS,N100,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
COBALT,7440484,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
CHROMIUM,7440473,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
TRIETHYLAMINE,121448,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-METHYL-2-PYRROLIDONE,872504,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
HYDRAZINE,302012,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIISOCYANATES,N120,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
FORMIC ACID,64186,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,A,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,A,Pounds,Unknown
COBALT COMPOUNDS,N096,YES,NON-PBT,YES,1,YES,A,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TRICHLOROETHYLENE,79016,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TETRACHLOROETHYLENE,127184,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ACETONITRILE,75058,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,A,Pounds,Unknown
SODIUM NITRITE,7632000,NO,NON-PBT,YES,2,NO,A,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCHLORINATED BIPHENYLS,1336363,YES,PBT,NO,0,YES,R,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE DIISOCYANATE (MIXED ISOMERS),26471625,NO,NON-PBT,NO,0,YES,R,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
PHTHALIC ANHYDRIDE,85449,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-METHYL-2-PYRROLIDONE,872504,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL METHACRYLATE,80626,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIISOCYANATES,N120,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BUTYL ACRYLATE,141322,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,A,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
LITHIUM CARBONATE,554132,NO,NON-PBT,YES,2,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
PROPYLENE,115071,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
PHENOL,108952,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL TERT-BUTYL ETHER,1634044,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MERCURY,7439976,YES,PBT,YES,1,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
ETHYLENE,74851,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CYCLOHEXANE,110827,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CUMENE,98828,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
BENZENE,71432,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.3-BUTADIENE,106990,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
MANGANESE,7439965,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
CHROMIUM,7440473,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
OZONE,10028156,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
N.N-DIMETHYLFORMAMIDE,68122,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
METHYL TERT-BUTYL ETHER,1634044,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROMETHANE,75092,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
CHLORODIFLUOROMETHANE,75456,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ACETONITRILE,75058,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
COBALT COMPOUNDS,N096,YES,NON-PBT,YES,1,YES,A,Pounds,Unknown
HYDROGEN FLUORIDE,7664393,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROFLUOROMETHANE,75434,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHLORODIFLUOROMETHANE,75456,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
3.3-DICHLORO-1.1.1.2.2-PENTAFLUOROPROPANE,422560,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.3-DICHLORO-1.1.2.2.3-PENTAFLUOROPROPANE,507551,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
2-METHOXYETHANOL,109864,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIBUTYL PHTHALATE,84742,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC (FUME OR DUST),7440666,NO,NON-PBT,YES,4,NO,R,Pounds,Unknown
MANGANESE,7439965,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
TRICHLOROETHYLENE,79016,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
MANGANESE,7439965,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
CHROMIUM,7440473,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ACETONITRILE,75058,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL TERT-BUTYL ETHER,1634044,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROMETHANE,75092,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,A,Pounds,Unknown
MANGANESE,7439965,YES,NON-PBT,YES,1,NO,A,Pounds,Unknown
CHROMIUM,7440473,YES,NON-PBT,YES,1,YES,A,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
SILVER,7440224,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL ISOBUTYL KETONE,108101,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
PROPYLENEIMINE,75558,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
BENZOYL PEROXIDE,94360,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
1.2-DICHLOROPROPANE,78875,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
PHENOL,108952,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MERCURY,7439976,YES,PBT,YES,1,NO,R,Pounds,Unknown
ANTIMONY,7440360,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
COBALT,7440484,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIETHANOLAMINE,111422,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHLORINE,7782505,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
PROPYLENE,115071,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MOLYBDENUM TRIOXIDE,1313275,NO,NON-PBT,YES,2,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
ETHYLENE,74851,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CYCLOHEXANE,110827,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CYANIDE COMPOUNDS,N106,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CUMENE,98828,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZENE,71432,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.3-BUTADIENE,106990,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
MALEIC ANHYDRIDE,108316,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIMETHYL PHTHALATE,131113,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
MERCURY,7439976,YES,PBT,YES,1,NO,R,Pounds,Unknown
MANGANESE COMPOUNDS,N450,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,YES,DIOXIN,NO,0,NO,R,Grams,Unknown
BARIUM COMPOUNDS,N040,NO,NON-PBT,YES,3,NO,R,Pounds,Unknown
ALUMINUM (FUME OR DUST),7429905,NO,NON-PBT,YES,4,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
TRICHLOROETHYLENE,79016,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
